el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
815.91,848.809,870.194,794.525,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,842.2289999999999,865.2589999999999,847.164,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,847.164,860.324,899.804,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,840.584,861.9689999999999,847.164,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,829.07,863.6139999999999,741.8860000000001,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,834.005,865.2589999999999,794.525,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,838.94,866.904,847.164,2,1,1,2,andrei978307200.0,0,1
921.188,848.809,870.194,847.164,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,837.295,870.194,741.8860000000001,2,1,1,2,andrei978307200.0,0,1
815.91,835.65,873.4839999999999,741.8860000000001,2,1,1,2,andrei978307200.0,0,1
868.549,829.07,871.8389999999999,847.164,2,1,1,2,andrei978307200.0,0,1
921.188,835.65,876.7739999999999,899.804,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,835.65,876.7739999999999,847.164,2,1,1,2,andrei978307200.0,0,1
815.91,835.65,866.904,794.525,2,1,1,2,andrei978307200.0,0,1
815.91,840.584,865.2589999999999,847.164,2,1,1,2,andrei978307200.0,0,1
868.549,842.2289999999999,866.904,899.804,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,840.584,870.194,899.804,2,1,1,2,andrei978307200.0,0,1
815.91,829.07,871.8389999999999,794.525,2,1,1,2,andrei978307200.0,0,1
815.91,825.78,870.194,794.525,2,1,1,2,andrei978307200.0,0,1
868.549,834.005,868.549,899.804,2,1,1,2,andrei978307200.0,0,1
921.188,834.005,871.8389999999999,899.804,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,827.425,871.8389999999999,847.164,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,824.135,868.549,794.525,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,822.49,871.8389999999999,847.164,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,827.425,868.549,899.804,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,829.07,873.4839999999999,899.804,2,1,1,2,andrei978307200.0,0,1
815.91,822.49,873.4839999999999,794.525,2,1,1,2,andrei978307200.0,0,1
815.91,827.425,871.8389999999999,794.525,2,1,1,2,andrei978307200.0,0,1
868.549,830.715,866.904,847.164,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,827.425,861.9689999999999,847.164,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,819.2,865.2589999999999,741.8860000000001,2,1,1,2,andrei978307200.0,0,1
789.59,817.555,870.194,741.8860000000001,2,1,1,2,andrei978307200.0,0,1
842.2289999999999,824.135,871.8389999999999,873.4839999999999,2,1,1,2,andrei978307200.0,0,1
894.8689999999999,834.005,873.4839999999999,978.763,2,1,1,2,andrei978307200.0,0,1
