el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
932.703,893.2239999999999,1112.01,998.503,2,1,1,2,anton borzenko978307200.0,0,1
827.425,884.9989999999999,1113.65,840.584,2,1,1,2,anton borzenko978307200.0,0,1
827.425,891.579,1131.75,840.584,2,1,1,2,anton borzenko978307200.0,0,1
932.703,898.159,1133.39,998.503,2,1,1,2,anton borzenko978307200.0,0,1
932.703,881.709,1116.94,998.503,2,1,1,2,anton borzenko978307200.0,0,1
880.064,881.709,1118.59,893.2239999999999,2,1,1,2,anton borzenko978307200.0,0,1
827.425,860.324,1116.94,787.945,2,1,1,2,anton borzenko978307200.0,0,1
880.064,873.4839999999999,1149.84,893.2239999999999,2,1,1,2,anton borzenko978307200.0,0,1
932.703,884.9989999999999,1154.78,998.503,2,1,1,2,anton borzenko978307200.0,0,1
932.703,883.3539999999999,1148.2,945.863,2,1,1,2,anton borzenko978307200.0,0,1
880.064,878.419,1133.39,840.584,2,1,1,2,anton borzenko978307200.0,0,1
880.064,884.9989999999999,1151.49,840.584,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,881.709,1176.16,998.503,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,875.1289999999999,1176.16,998.503,2,1,1,2,anton borzenko978307200.0,0,1
932.703,878.419,1192.61,893.2239999999999,2,1,1,2,anton borzenko978307200.0,0,1
880.064,873.4839999999999,1192.61,840.584,2,1,1,2,anton borzenko978307200.0,0,1
932.703,880.064,1207.42,945.863,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,884.9989999999999,1215.64,1051.14,2,1,1,2,anton borzenko978307200.0,0,1
932.703,873.4839999999999,1210.7,1051.14,2,1,1,2,anton borzenko978307200.0,0,1
880.064,873.4839999999999,1210.7,945.863,2,1,1,2,anton borzenko978307200.0,0,1
880.064,876.7739999999999,1218.93,945.863,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,880.064,1235.38,1051.14,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,878.419,1245.25,1051.14,2,1,1,2,anton borzenko978307200.0,0,1
880.064,866.904,1237.03,945.863,2,1,1,2,anton borzenko978307200.0,0,1
827.425,860.324,1243.6,945.863,2,1,1,2,anton borzenko978307200.0,0,1
932.703,863.6139999999999,1266.63,1051.14,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,866.904,1274.86,1051.14,2,1,1,2,anton borzenko978307200.0,0,1
932.703,881.709,1286.37,945.863,2,1,1,2,anton borzenko978307200.0,0,1
880.064,911.319,1291.31,840.584,2,1,1,2,anton borzenko978307200.0,0,1
880.064,931.058,1302.82,840.584,2,1,1,2,anton borzenko978307200.0,0,1
932.703,940.928,1314.34,945.863,2,1,1,2,anton borzenko978307200.0,0,1
932.703,927.768,1302.82,945.863,2,1,1,2,anton borzenko978307200.0,0,1
932.703,912.9639999999999,1289.66,735.306,2,1,1,2,anton borzenko978307200.0,0,1
932.703,914.6089999999999,1311.05,735.306,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,926.123,1327.5,840.584,2,1,1,2,anton borzenko978307200.0,0,1
985.3430000000001,926.123,1335.72,840.584,2,1,1,2,anton borzenko978307200.0,0,1
880.064,911.319,1352.17,735.306,2,1,1,2,anton borzenko978307200.0,0,1
