el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
784.655,815.91,855.3889999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,763.27,852.0989999999999,727.081,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,763.27,860.324,727.081,2,4,1,2,kate odin978307200.0,0,1
784.655,861.9689999999999,860.324,832.36,2,4,1,2,kate odin978307200.0,0,1
784.655,848.809,848.809,832.36,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,783.01,848.809,779.72,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,769.85,847.164,727.081,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,853.7439999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
784.655,861.9689999999999,857.034,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,829.07,853.7439999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,783.01,847.164,727.081,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,822.49,853.7439999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,888.289,857.034,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
784.655,809.33,855.3889999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,776.43,852.0989999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,789.59,850.454,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,857.034,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,855.3889999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,842.2289999999999,852.0989999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,763.27,853.7439999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,842.2289999999999,855.3889999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,857.034,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
784.655,815.91,855.3889999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,789.59,848.809,779.72,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,789.59,850.454,779.72,2,4,1,2,kate odin978307200.0,0,1
889.934,842.2289999999999,855.3889999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
889.934,842.2289999999999,852.0989999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
784.655,815.91,847.164,832.36,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,763.27,847.164,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,842.2289999999999,852.0989999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
889.934,842.2289999999999,857.034,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
889.934,789.59,857.034,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,789.59,850.454,727.081,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,815.91,852.0989999999999,674.441,2,4,1,2,kate odin978307200.0,0,1
784.655,894.8689999999999,855.3889999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,842.2289999999999,852.0989999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,789.59,852.0989999999999,727.081,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,789.59,852.0989999999999,674.441,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,853.7439999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,855.3889999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
784.655,842.2289999999999,853.7439999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,789.59,852.0989999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,842.2289999999999,853.7439999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,868.549,853.7439999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
784.655,842.2289999999999,853.7439999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,815.91,847.164,832.36,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,815.91,847.164,779.72,2,4,1,2,kate odin978307200.0,0,1
889.934,868.549,853.7439999999999,884.9989999999999,2,4,1,2,kate odin978307200.0,0,1
995.2130000000001,815.91,853.7439999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
889.934,763.27,853.7439999999999,727.081,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,763.27,848.809,621.802,2,4,1,2,kate odin978307200.0,0,1
784.655,815.91,850.454,674.441,2,4,1,2,kate odin978307200.0,0,1
889.934,815.91,850.454,779.72,2,4,1,2,kate odin978307200.0,0,1
889.934,763.27,853.7439999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,710.6310000000001,855.3889999999999,727.081,2,4,1,2,kate odin978307200.0,0,1
784.655,763.27,850.454,727.081,2,4,1,2,kate odin978307200.0,0,1
995.2130000000001,815.91,855.3889999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
995.2130000000001,815.91,850.454,832.36,2,4,1,2,kate odin978307200.0,0,1
889.934,763.27,847.164,779.72,2,4,1,2,kate odin978307200.0,0,1
784.655,763.27,847.164,727.081,2,4,1,2,kate odin978307200.0,0,1
889.934,868.549,852.0989999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
995.2130000000001,868.549,848.809,832.36,2,4,1,2,kate odin978307200.0,0,1
889.934,815.91,845.5189999999999,832.36,2,4,1,2,kate odin978307200.0,0,1
679.3760000000001,763.27,843.8739999999999,779.72,2,4,1,2,kate odin978307200.0,0,1
574.0980000000001,787.945,848.809,832.36,2,1,1,2,kate odin978307200.0,0,1
784.655,883.3539999999999,852.0989999999999,990.278,2,1,1,2,kate odin978307200.0,0,1
784.655,865.2589999999999,847.164,990.278,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,794.525,845.5189999999999,937.638,2,1,1,2,kate odin978307200.0,0,1
574.0980000000001,778.075,847.164,884.9989999999999,2,1,1,2,kate odin978307200.0,0,1
784.655,878.419,857.034,990.278,2,1,1,2,kate odin978307200.0,0,1
784.655,866.904,853.7439999999999,990.278,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,820.845,848.809,937.638,2,1,1,2,kate odin978307200.0,0,1
574.0980000000001,791.235,842.2289999999999,832.36,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,829.07,847.164,832.36,2,1,1,2,kate odin978307200.0,0,1
889.934,878.419,853.7439999999999,937.638,2,1,1,2,kate odin978307200.0,0,1
889.934,801.105,853.7439999999999,937.638,2,1,1,2,kate odin978307200.0,0,1
784.655,769.85,847.164,832.36,2,1,1,2,kate odin978307200.0,0,1
784.655,779.72,845.5189999999999,832.36,2,1,1,2,kate odin978307200.0,0,1
995.2130000000001,904.7389999999999,848.809,937.638,2,1,1,2,kate odin978307200.0,0,1
995.2130000000001,873.4839999999999,847.164,937.638,2,1,1,2,kate odin978307200.0,0,1
784.655,768.205,848.809,832.36,2,1,1,2,kate odin978307200.0,0,1
574.0980000000001,741.8860000000001,845.5189999999999,727.081,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,794.525,848.809,727.081,2,1,1,2,kate odin978307200.0,0,1
784.655,794.525,852.0989999999999,832.36,2,1,1,2,kate odin978307200.0,0,1
784.655,794.525,850.454,832.36,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,689.2460000000001,853.7439999999999,779.72,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,741.8860000000001,852.0989999999999,779.72,2,1,1,2,kate odin978307200.0,0,1
889.934,820.845,857.034,884.9989999999999,2,1,1,2,kate odin978307200.0,0,1
889.934,794.525,853.7439999999999,884.9989999999999,2,1,1,2,kate odin978307200.0,0,1
784.655,768.205,850.454,832.36,2,1,1,2,kate odin978307200.0,0,1
679.3760000000001,741.8860000000001,850.454,779.72,2,1,1,2,kate odin978307200.0,0,1
889.934,820.845,852.0989999999999,832.36,2,1,1,2,kate odin978307200.0,0,1
