el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
860.324,852.0989999999999,861.9689999999999,871.8389999999999,1,1,1,1,oleja978307200.0,0,1
889.934,850.454,861.9689999999999,899.804,1,1,1,1,oleja978307200.0,0,1
875.1289999999999,852.0989999999999,866.904,898.159,1,1,1,1,oleja978307200.0,0,1
845.5189999999999,855.3889999999999,868.549,875.1289999999999,1,1,1,1,oleja978307200.0,0,1
847.164,858.679,870.194,863.6139999999999,1,1,1,1,oleja978307200.0,0,1
891.579,855.3889999999999,870.194,889.934,1,1,1,1,oleja978307200.0,0,1
893.2239999999999,855.3889999999999,871.8389999999999,903.0939999999999,1,1,1,1,oleja978307200.0,0,1
858.679,858.679,873.4839999999999,883.3539999999999,1,1,1,1,oleja978307200.0,0,1
835.65,853.7439999999999,871.8389999999999,860.324,1,1,1,1,oleja978307200.0,0,1
868.549,855.3889999999999,871.8389999999999,875.1289999999999,1,1,1,1,oleja978307200.0,0,1
898.159,860.324,878.419,911.319,1,1,1,1,oleja978307200.0,0,1
865.2589999999999,861.9689999999999,876.7739999999999,903.0939999999999,1,1,1,1,oleja978307200.0,0,1
822.49,857.034,873.4839999999999,861.9689999999999,1,1,1,1,oleja978307200.0,0,1
837.295,853.7439999999999,868.549,853.7439999999999,1,1,1,1,oleja978307200.0,0,1
884.9989999999999,852.0989999999999,870.194,880.064,1,1,1,1,oleja978307200.0,0,1
880.064,857.034,875.1289999999999,894.8689999999999,1,1,1,1,oleja978307200.0,0,1
838.94,858.679,875.1289999999999,875.1289999999999,1,1,1,1,oleja978307200.0,0,1
829.07,858.679,873.4839999999999,860.324,1,1,1,1,oleja978307200.0,0,1
866.904,853.7439999999999,873.4839999999999,881.709,1,1,1,1,oleja978307200.0,0,1
894.8689999999999,853.7439999999999,873.4839999999999,916.2539999999999,1,1,1,1,oleja978307200.0,0,1
860.324,852.0989999999999,871.8389999999999,899.804,1,1,1,1,oleja978307200.0,0,1
830.715,855.3889999999999,871.8389999999999,866.904,1,1,1,1,oleja978307200.0,0,1
855.3889999999999,857.034,870.194,880.064,1,1,1,1,oleja978307200.0,0,1
894.8689999999999,855.3889999999999,871.8389999999999,914.6089999999999,1,1,1,1,oleja978307200.0,0,1
888.289,857.034,873.4839999999999,929.413,1,1,1,1,oleja978307200.0,0,1
845.5189999999999,855.3889999999999,875.1289999999999,908.029,1,1,1,1,oleja978307200.0,0,1
847.164,855.3889999999999,871.8389999999999,888.289,1,1,1,1,oleja978307200.0,0,1
870.194,853.7439999999999,866.904,886.6439999999999,1,1,1,1,oleja978307200.0,0,1
865.2589999999999,853.7439999999999,857.034,898.159,1,1,1,1,oleja978307200.0,0,1
820.845,853.7439999999999,855.3889999999999,876.7739999999999,1,1,1,1,oleja978307200.0,0,1
778.075,852.0989999999999,855.3889999999999,843.8739999999999,1,1,1,1,oleja978307200.0,0,1
806.04,850.454,850.454,857.034,1,1,1,1,oleja978307200.0,0,1
830.715,845.5189999999999,848.809,873.4839999999999,1,1,1,1,oleja978307200.0,0,1
796.17,843.8739999999999,843.8739999999999,850.454,1,1,1,1,oleja978307200.0,0,1
756.691,847.164,842.2289999999999,822.49,1,1,1,1,oleja978307200.0,0,1
751.7560000000001,845.5189999999999,845.5189999999999,801.105,1,1,1,1,oleja978307200.0,0,1
776.43,837.295,843.8739999999999,806.04,1,1,1,1,oleja978307200.0,0,1
773.14,837.295,845.5189999999999,809.33,1,1,1,1,oleja978307200.0,0,1
730.3710000000001,838.94,845.5189999999999,786.3,1,1,1,1,oleja978307200.0,0,1
715.566,835.65,847.164,759.98,1,1,1,1,oleja978307200.0,0,1
755.045,837.295,848.809,778.075,1,1,1,1,oleja978307200.0,0,1
787.945,835.65,850.454,809.33,1,1,1,1,oleja978307200.0,0,1
763.27,837.295,843.8739999999999,804.395,1,1,1,1,oleja978307200.0,0,1
728.7260000000001,842.2289999999999,848.809,776.43,1,1,1,1,oleja978307200.0,0,1
751.7560000000001,845.5189999999999,845.5189999999999,778.075,1,1,1,1,oleja978307200.0,0,1
806.04,845.5189999999999,847.164,819.2,1,1,1,1,oleja978307200.0,0,1
809.33,852.0989999999999,855.3889999999999,840.584,1,1,1,1,oleja978307200.0,0,1
778.075,857.034,853.7439999999999,819.2,1,1,1,1,oleja978307200.0,0,1
784.655,860.324,855.3889999999999,807.685,1,1,1,1,oleja978307200.0,0,1
830.715,860.324,852.0989999999999,838.94,1,1,1,1,oleja978307200.0,0,1
875.1289999999999,861.9689999999999,863.6139999999999,880.064,1,1,1,1,oleja978307200.0,0,1
857.034,863.6139999999999,863.6139999999999,888.289,1,1,1,1,oleja978307200.0,0,1
830.715,863.6139999999999,866.904,863.6139999999999,1,1,1,1,oleja978307200.0,0,1
863.6139999999999,861.9689999999999,865.2589999999999,866.904,1,1,1,1,oleja978307200.0,0,1
901.449,860.324,863.6139999999999,904.7389999999999,1,1,1,1,oleja978307200.0,0,1
893.2239999999999,858.679,875.1289999999999,906.3839999999999,1,1,1,1,oleja978307200.0,0,1
858.679,861.9689999999999,876.7739999999999,875.1289999999999,1,1,1,1,oleja978307200.0,0,1
861.9689999999999,861.9689999999999,873.4839999999999,866.904,1,1,1,1,oleja978307200.0,0,1
904.7389999999999,860.324,873.4839999999999,894.8689999999999,1,1,1,1,oleja978307200.0,0,1
919.544,861.9689999999999,873.4839999999999,917.8989999999999,1,1,1,1,oleja978307200.0,0,1
883.3539999999999,863.6139999999999,876.7739999999999,898.159,1,1,1,1,oleja978307200.0,0,1
855.3889999999999,865.2589999999999,876.7739999999999,881.709,1,1,1,1,oleja978307200.0,0,1
893.2239999999999,860.324,878.419,884.9989999999999,1,1,1,1,oleja978307200.0,0,1
919.544,860.324,881.709,911.319,1,1,1,1,oleja978307200.0,0,1
908.029,866.904,880.064,914.6089999999999,1,1,1,1,oleja978307200.0,0,1
868.549,863.6139999999999,880.064,876.7739999999999,1,1,1,1,oleja978307200.0,0,1
871.8389999999999,860.324,875.1289999999999,866.904,1,1,1,1,oleja978307200.0,0,1
916.2539999999999,858.679,873.4839999999999,896.5139999999999,1,1,1,1,oleja978307200.0,0,1
927.768,861.9689999999999,880.064,917.8989999999999,1,1,1,1,oleja978307200.0,0,1
896.5139999999999,865.2589999999999,876.7739999999999,901.449,1,1,1,1,oleja978307200.0,0,1
875.1289999999999,866.904,876.7739999999999,873.4839999999999,1,1,1,1,oleja978307200.0,0,1
904.7389999999999,865.2589999999999,871.8389999999999,883.3539999999999,1,1,1,1,oleja978307200.0,0,1
922.834,858.679,875.1289999999999,903.0939999999999,1,1,1,1,oleja978307200.0,0,1
898.159,865.2589999999999,876.7739999999999,898.159,1,1,1,1,oleja978307200.0,0,1
861.9689999999999,868.549,880.064,878.419,1,1,1,1,oleja978307200.0,0,1
873.4839999999999,868.549,880.064,878.419,1,1,1,1,oleja978307200.0,0,1
909.674,868.549,880.064,911.319,1,1,1,1,oleja978307200.0,0,1
903.0939999999999,866.904,871.8389999999999,916.2539999999999,1,1,1,1,oleja978307200.0,0,1
861.9689999999999,866.904,868.549,881.709,1,1,1,1,oleja978307200.0,0,1
852.0989999999999,868.549,873.4839999999999,858.679,1,1,1,1,oleja978307200.0,0,1
891.579,865.2589999999999,871.8389999999999,880.064,1,1,1,1,oleja978307200.0,0,1
912.9639999999999,866.904,880.064,911.319,1,1,1,1,oleja978307200.0,0,1
888.289,865.2589999999999,881.709,904.7389999999999,1,1,1,1,oleja978307200.0,0,1
855.3889999999999,865.2589999999999,878.419,876.7739999999999,1,1,1,1,oleja978307200.0,0,1
870.194,866.904,871.8389999999999,873.4839999999999,1,1,1,1,oleja978307200.0,0,1
903.0939999999999,863.6139999999999,870.194,909.674,1,1,1,1,oleja978307200.0,0,1
888.289,863.6139999999999,871.8389999999999,903.0939999999999,1,1,1,1,oleja978307200.0,0,1
853.7439999999999,865.2589999999999,871.8389999999999,873.4839999999999,1,1,1,1,oleja978307200.0,0,1
858.679,868.549,870.194,870.194,1,1,1,1,oleja978307200.0,0,1
909.674,873.4839999999999,870.194,903.0939999999999,1,1,1,1,oleja978307200.0,0,1
909.674,861.9689999999999,880.064,921.188,1,1,1,1,oleja978307200.0,0,1
873.4839999999999,861.9689999999999,880.064,909.674,1,1,1,1,oleja978307200.0,0,1
843.8739999999999,857.034,888.289,891.579,1,1,1,1,oleja978307200.0,0,1
880.064,847.164,883.3539999999999,896.5139999999999,1,1,1,1,oleja978307200.0,0,1
924.4780000000001,853.7439999999999,886.6439999999999,926.123,1,1,1,1,oleja978307200.0,0,1
914.6089999999999,848.809,893.2239999999999,927.768,1,1,1,1,oleja978307200.0,0,1
884.9989999999999,848.809,893.2239999999999,903.0939999999999,1,1,1,1,oleja978307200.0,0,1
886.6439999999999,847.164,891.579,901.449,1,1,1,1,oleja978307200.0,0,1
932.703,845.5189999999999,888.289,934.3480000000001,1,1,1,1,oleja978307200.0,0,1
939.283,848.809,889.934,947.508,1,1,1,1,oleja978307200.0,0,1
891.579,850.454,889.934,919.544,1,1,1,1,oleja978307200.0,0,1
875.1289999999999,853.7439999999999,884.9989999999999,904.7389999999999,1,1,1,1,oleja978307200.0,0,1
904.7389999999999,853.7439999999999,881.709,916.2539999999999,1,1,1,1,oleja978307200.0,0,1
924.4780000000001,853.7439999999999,878.419,932.703,1,1,1,1,oleja978307200.0,0,1
903.0939999999999,852.0989999999999,881.709,922.834,1,1,1,1,oleja978307200.0,0,1
868.549,857.034,884.9989999999999,896.5139999999999,1,1,1,1,oleja978307200.0,0,1
868.549,850.454,880.064,883.3539999999999,1,1,1,1,oleja978307200.0,0,1
911.319,850.454,880.064,919.544,1,1,1,1,oleja978307200.0,0,1
