el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
723.791,817.555,973.828,727.081,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
723.791,814.265,980.408,753.4010000000001,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,819.2,973.828,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,822.49,975.4730000000001,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.1110000000001,827.425,983.698,753.4010000000001,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.1110000000001,834.005,986.988,753.4010000000001,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,834.005,983.698,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,842.2289999999999,1000.15,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,848.809,1011.66,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.1110000000001,853.7439999999999,1014.95,753.4010000000001,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,852.0989999999999,1014.95,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,853.7439999999999,1014.95,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,855.3889999999999,1014.95,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,858.679,1028.11,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,858.679,1046.21,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,863.6139999999999,1042.92,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,866.904,1036.34,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,865.2589999999999,1039.63,753.4010000000001,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.1110000000001,871.8389999999999,1042.92,727.081,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,868.549,1042.92,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,863.6139999999999,1049.5,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,868.549,1049.5,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.1110000000001,870.194,1044.56,753.4010000000001,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
