el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
1031.4,812.62,873.4839999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,792.88,830.715,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,802.75,830.715,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,820.845,875.1289999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,829.07,896.5139999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,801.105,850.454,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,792.88,843.8739999999999,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,807.685,858.679,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,817.555,889.934,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,809.33,866.904,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,789.59,830.715,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,797.815,850.454,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,815.91,878.419,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,810.975,878.419,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,787.945,837.295,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,792.88,842.2289999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,810.975,880.064,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,824.135,901.449,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,809.33,865.2589999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,792.88,835.65,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,801.105,855.3889999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,824.135,896.5139999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,820.845,880.064,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,799.46,832.36,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,804.395,832.36,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,819.2,870.194,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,824.135,889.934,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,806.04,852.0989999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,802.75,827.425,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,812.62,852.0989999999999,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,827.425,904.7389999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,814.265,880.064,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,791.235,838.94,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,801.105,837.295,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,822.49,884.9989999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,830.715,912.9639999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,810.975,863.6139999999999,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,806.04,838.94,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,820.845,861.9689999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,829.07,901.449,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,804.395,875.1289999999999,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,787.945,838.94,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,804.395,857.034,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,820.845,891.579,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,820.845,899.804,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,797.815,853.7439999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,794.525,838.94,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,815.91,876.7739999999999,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,834.005,896.5139999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,810.975,858.679,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
610.2869999999999,799.46,832.36,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,812.62,847.164,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,829.07,876.7739999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,825.78,863.6139999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,806.04,809.33,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,814.265,806.04,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,819.2,843.8739999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,819.2,888.289,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,810.975,903.0939999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
610.2869999999999,799.46,886.6439999999999,625.092,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,812.62,894.8689999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,832.36,909.674,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,819.2,873.4839999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,807.685,843.8739999999999,625.092,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,814.265,853.7439999999999,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,829.07,883.3539999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,830.715,886.6439999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,802.75,845.5189999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,802.75,830.715,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,815.91,860.324,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,827.425,899.804,1151.49,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,815.91,866.904,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,794.525,829.07,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,807.685,857.034,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,827.425,893.2239999999999,1151.49,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,825.78,898.159,1151.49,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,801.105,847.164,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,802.75,845.5189999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,827.425,884.9989999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,832.36,901.449,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,810.975,858.679,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,801.105,829.07,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,817.555,860.324,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,837.295,893.2239999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,830.715,875.1289999999999,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,807.685,824.135,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,812.62,830.715,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,835.65,866.904,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,840.584,886.6439999999999,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,812.62,847.164,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,797.815,830.715,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,809.33,865.2589999999999,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
926.123,838.94,901.449,940.928,2,1,1,2,stas26.06demousa978307200.0,0,1
820.845,820.845,866.904,835.65,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,804.395,832.36,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
715.566,814.265,834.005,730.3710000000001,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,832.36,868.549,1046.21,2,1,1,2,stas26.06demousa978307200.0,0,1
1031.4,845.5189999999999,881.709,1151.49,2,1,1,2,stas26.06demousa978307200.0,0,1
