el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
832.36,840.584,863.6139999999999,837.295,1,1,1,1,lena23.05.17978307200.0,0,1
878.419,835.65,857.034,866.904,1,1,1,1,lena23.05.17978307200.0,0,1
883.3539999999999,837.295,853.7439999999999,873.4839999999999,1,1,1,1,lena23.05.17978307200.0,0,1
845.5189999999999,815.91,855.3889999999999,853.7439999999999,1,1,1,1,lena23.05.17978307200.0,0,1
830.715,809.33,863.6139999999999,845.5189999999999,1,1,1,1,lena23.05.17978307200.0,0,1
865.2589999999999,827.425,866.904,873.4839999999999,1,1,1,1,lena23.05.17978307200.0,0,1
906.3839999999999,840.584,870.194,908.029,1,1,1,1,lena23.05.17978307200.0,0,1
870.194,835.65,865.2589999999999,875.1289999999999,1,1,1,1,lena23.05.17978307200.0,0,1
837.295,832.36,875.1289999999999,861.9689999999999,1,1,1,1,lena23.05.17978307200.0,0,1
837.295,837.295,865.2589999999999,852.0989999999999,1,1,1,1,lena23.05.17978307200.0,0,1
886.6439999999999,832.36,866.904,881.709,1,1,1,1,lena23.05.17978307200.0,0,1
883.3539999999999,830.715,866.904,881.709,1,1,1,1,lena23.05.17978307200.0,0,1
845.5189999999999,827.425,868.549,857.034,1,1,1,1,lena23.05.17978307200.0,0,1
835.65,825.78,876.7739999999999,848.809,1,1,1,1,lena23.05.17978307200.0,0,1
866.904,832.36,873.4839999999999,880.064,1,1,1,1,lena23.05.17978307200.0,0,1
891.579,830.715,870.194,893.2239999999999,1,1,1,1,lena23.05.17978307200.0,0,1
863.6139999999999,822.49,871.8389999999999,866.904,1,1,1,1,lena23.05.17978307200.0,0,1
822.49,822.49,870.194,835.65,1,1,1,1,lena23.05.17978307200.0,0,1
840.584,814.265,863.6139999999999,840.584,1,1,1,1,lena23.05.17978307200.0,0,1
896.5139999999999,822.49,865.2589999999999,893.2239999999999,1,1,1,1,lena23.05.17978307200.0,0,1
873.4839999999999,827.425,858.679,875.1289999999999,1,1,1,1,lena23.05.17978307200.0,0,1
865.2589999999999,824.135,880.064,884.9989999999999,1,1,1,1,lena23.05.17978307200.0,0,1
840.584,829.07,873.4839999999999,866.904,1,1,1,1,lena23.05.17978307200.0,0,1
876.7739999999999,815.91,871.8389999999999,889.934,1,1,1,1,lena23.05.17978307200.0,0,1
893.2239999999999,797.815,866.904,891.579,1,1,1,1,lena23.05.17978307200.0,0,1
