el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
845.5189999999999,838.94,843.8739999999999,840.584,1,2,1,1,maru978307200.0,0,1
847.164,776.43,850.454,842.2289999999999,1,2,1,1,maru978307200.0,0,1
853.7439999999999,796.17,855.3889999999999,866.904,1,2,1,1,maru978307200.0,0,1
881.709,628.382,857.034,919.544,1,2,1,1,maru978307200.0,0,1
848.809,766.56,847.164,894.8689999999999,1,2,1,1,maru978307200.0,0,1
809.33,802.75,842.2289999999999,842.2289999999999,1,2,1,1,maru978307200.0,0,1
824.135,815.91,835.65,830.715,1,2,1,1,maru978307200.0,0,1
863.6139999999999,825.78,843.8739999999999,863.6139999999999,1,2,1,1,maru978307200.0,0,1
870.194,822.49,843.8739999999999,881.709,1,2,1,1,maru978307200.0,0,1
855.3889999999999,730.3710000000001,843.8739999999999,875.1289999999999,1,2,1,1,maru978307200.0,0,1
822.49,687.6010000000001,847.164,858.679,1,2,1,1,maru978307200.0,0,1
829.07,802.75,850.454,865.2589999999999,1,2,1,1,maru978307200.0,0,1
857.034,822.49,847.164,870.194,1,2,1,1,maru978307200.0,0,1
840.584,786.3,843.8739999999999,857.034,1,2,1,1,maru978307200.0,0,1
812.62,825.78,837.295,830.715,1,2,1,1,maru978307200.0,0,1
827.425,789.59,838.94,834.005,1,2,1,1,maru978307200.0,0,1
830.715,842.2289999999999,842.2289999999999,852.0989999999999,1,2,1,1,maru978307200.0,0,1
835.65,894.8689999999999,837.295,835.65,1,2,1,1,maru978307200.0,0,1
830.715,789.59,843.8739999999999,848.809,1,2,1,1,maru978307200.0,0,1
827.425,789.59,843.8739999999999,847.164,1,2,1,1,maru978307200.0,0,1
866.904,736.951,850.454,876.7739999999999,1,2,1,1,maru978307200.0,0,1
853.7439999999999,842.2289999999999,838.94,863.6139999999999,1,2,1,1,maru978307200.0,0,1
838.94,789.59,838.94,857.034,1,2,1,1,maru978307200.0,0,1
817.555,789.59,837.295,829.07,1,2,1,1,maru978307200.0,0,1
853.7439999999999,736.951,845.5189999999999,861.9689999999999,1,2,1,1,maru978307200.0,0,1
860.324,894.8689999999999,840.584,857.034,1,2,1,1,maru978307200.0,0,1
866.904,789.59,845.5189999999999,868.549,1,2,1,1,maru978307200.0,0,1
835.65,789.59,840.584,853.7439999999999,1,2,1,1,maru978307200.0,0,1
842.2289999999999,789.59,843.8739999999999,847.164,1,2,1,1,maru978307200.0,0,1
889.934,684.311,855.3889999999999,914.6089999999999,1,2,1,1,maru978307200.0,0,1
855.3889999999999,842.2289999999999,842.2289999999999,881.709,1,2,1,1,maru978307200.0,0,1
832.36,842.2289999999999,842.2289999999999,852.0989999999999,1,2,1,1,maru978307200.0,0,1
824.135,815.91,847.164,842.2289999999999,1,2,1,1,maru978307200.0,0,1
852.0989999999999,842.2289999999999,842.2289999999999,843.8739999999999,1,2,1,1,maru978307200.0,0,1
884.9989999999999,789.59,848.809,884.9989999999999,1,2,1,1,maru978307200.0,0,1
860.324,736.951,848.809,886.6439999999999,1,2,1,1,maru978307200.0,0,1
824.135,763.27,843.8739999999999,852.0989999999999,1,2,1,1,maru978307200.0,0,1
829.07,763.27,843.8739999999999,838.94,1,2,1,1,maru978307200.0,0,1
