el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
837.295,799.46,873.4839999999999,835.65,1,1,1,1,nikita978307200.0,0,1
832.36,797.815,878.419,843.8739999999999,1,1,1,1,nikita978307200.0,0,1
842.2289999999999,799.46,880.064,857.034,1,1,1,1,nikita978307200.0,0,1
835.65,797.815,880.064,850.454,1,1,1,1,nikita978307200.0,0,1
820.845,801.105,881.709,827.425,1,1,1,1,nikita978307200.0,0,1
840.584,804.395,883.3539999999999,827.425,1,1,1,1,nikita978307200.0,0,1
842.2289999999999,804.395,886.6439999999999,858.679,1,1,1,1,nikita978307200.0,0,1
845.5189999999999,806.04,886.6439999999999,858.679,1,1,1,1,nikita978307200.0,0,1
832.36,807.685,886.6439999999999,852.0989999999999,1,1,1,1,nikita978307200.0,0,1
834.005,806.04,883.3539999999999,843.8739999999999,1,1,1,1,nikita978307200.0,0,1
834.005,804.395,884.9989999999999,845.5189999999999,1,1,1,1,nikita978307200.0,0,1
838.94,807.685,886.6439999999999,860.324,1,1,1,1,nikita978307200.0,0,1
843.8739999999999,809.33,883.3539999999999,850.454,1,1,1,1,nikita978307200.0,0,1
840.584,809.33,880.064,838.94,1,1,1,1,nikita978307200.0,0,1
842.2289999999999,812.62,880.064,845.5189999999999,1,1,1,1,nikita978307200.0,0,1
857.034,815.91,883.3539999999999,870.194,1,1,1,1,nikita978307200.0,0,1
855.3889999999999,815.91,888.289,868.549,1,1,1,1,nikita978307200.0,0,1
842.2289999999999,815.91,889.934,850.454,1,1,1,1,nikita978307200.0,0,1
850.454,814.265,886.6439999999999,855.3889999999999,1,1,1,1,nikita978307200.0,0,1
855.3889999999999,819.2,891.579,871.8389999999999,1,1,1,1,nikita978307200.0,0,1
863.6139999999999,817.555,891.579,884.9989999999999,1,1,1,1,nikita978307200.0,0,1
857.034,819.2,891.579,880.064,1,1,1,1,nikita978307200.0,0,1
865.2589999999999,819.2,891.579,857.034,1,1,1,1,nikita978307200.0,0,1
855.3889999999999,815.91,891.579,858.679,1,1,1,1,nikita978307200.0,0,1
857.034,815.91,888.289,860.324,1,1,1,1,nikita978307200.0,0,1
863.6139999999999,812.62,889.934,857.034,1,1,1,1,nikita978307200.0,0,1
