el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
868.549,796.17,1052.79,871.8389999999999,1,1,4,1,olga978307200.0,0,1
852.0989999999999,815.91,1682.81,866.904,1,1,4,1,olga978307200.0,0,1
843.8739999999999,804.395,1051.14,853.7439999999999,1,1,4,1,olga978307200.0,0,1
837.295,802.75,1051.14,842.2289999999999,1,1,4,1,olga978307200.0,0,1
863.6139999999999,817.555,1261.7,837.295,1,1,4,1,olga978307200.0,0,1
873.4839999999999,794.525,630.0269999999999,894.8689999999999,1,1,4,1,olga978307200.0,0,1
842.2289999999999,822.49,1472.26,876.7739999999999,1,1,4,1,olga978307200.0,0,1
838.94,815.91,1051.14,832.36,1,1,4,1,olga978307200.0,0,1
850.454,812.62,1051.14,830.715,1,1,4,1,olga978307200.0,0,1
870.194,820.845,1261.7,866.904,1,1,4,1,olga978307200.0,0,1
868.549,815.91,1261.7,873.4839999999999,1,1,4,1,olga978307200.0,0,1
852.0989999999999,830.715,1472.26,858.679,1,1,4,1,olga978307200.0,0,1
858.679,819.2,1051.14,850.454,1,1,4,1,olga978307200.0,0,1
873.4839999999999,822.49,1051.14,852.0989999999999,1,1,4,1,olga978307200.0,0,1
853.7439999999999,814.265,840.584,881.709,1,1,4,1,olga978307200.0,0,1
840.584,799.46,630.0269999999999,868.549,1,1,4,1,olga978307200.0,0,1
832.36,820.845,1156.42,830.715,1,1,4,1,olga978307200.0,0,1
843.8739999999999,825.78,1156.42,832.36,1,1,4,1,olga978307200.0,0,1
866.904,819.2,945.863,883.3539999999999,1,1,4,1,olga978307200.0,0,1
852.0989999999999,822.49,1156.42,876.7739999999999,1,1,4,1,olga978307200.0,0,1
840.584,815.91,840.584,845.5189999999999,1,1,4,1,olga978307200.0,0,1
830.715,804.395,735.306,852.0989999999999,1,1,4,1,olga978307200.0,0,1
855.3889999999999,819.2,1156.42,866.904,1,1,4,1,olga978307200.0,0,1
865.2589999999999,819.2,1156.42,870.194,1,1,4,1,olga978307200.0,0,1
853.7439999999999,827.425,1156.42,840.584,1,1,4,1,olga978307200.0,0,1
855.3889999999999,817.555,945.863,830.715,1,1,4,1,olga978307200.0,0,1
866.904,825.78,1051.14,853.7439999999999,1,1,4,1,olga978307200.0,0,1
878.419,804.395,630.0269999999999,894.8689999999999,1,1,4,1,olga978307200.0,0,1
850.454,809.33,1051.14,861.9689999999999,1,1,4,1,olga978307200.0,0,1
840.584,814.265,1156.42,838.94,1,1,4,1,olga978307200.0,0,1
852.0989999999999,817.555,1156.42,815.91,1,1,4,1,olga978307200.0,0,1
873.4839999999999,819.2,1156.42,863.6139999999999,1,1,4,1,olga978307200.0,0,1
888.289,809.33,1051.14,884.9989999999999,1,1,4,1,olga978307200.0,0,1
847.164,804.395,840.584,857.034,1,1,4,1,olga978307200.0,0,1
850.454,796.17,840.584,838.94,1,1,4,1,olga978307200.0,0,1
848.809,806.04,1051.14,870.194,1,1,4,1,olga978307200.0,0,1
861.9689999999999,814.265,1156.42,883.3539999999999,1,1,4,1,olga978307200.0,0,1
848.809,832.36,1472.26,850.454,1,1,4,1,olga978307200.0,0,1
848.809,815.91,840.584,837.295,1,1,4,1,olga978307200.0,0,1
847.164,814.265,945.863,847.164,1,1,4,1,olga978307200.0,0,1
871.8389999999999,820.845,1156.42,891.579,1,1,4,1,olga978307200.0,0,1
875.1289999999999,817.555,945.863,886.6439999999999,1,1,4,1,olga978307200.0,0,1
843.8739999999999,815.91,945.863,848.809,1,1,4,1,olga978307200.0,0,1
845.5189999999999,812.62,840.584,837.295,1,1,4,1,olga978307200.0,0,1
873.4839999999999,812.62,1051.14,873.4839999999999,1,1,4,1,olga978307200.0,0,1
876.7739999999999,825.78,1156.42,889.934,1,1,4,1,olga978307200.0,0,1
861.9689999999999,820.845,945.863,884.9989999999999,1,1,4,1,olga978307200.0,0,1
857.034,819.2,945.863,835.65,1,1,4,1,olga978307200.0,0,1
848.809,807.685,840.584,845.5189999999999,1,1,4,1,olga978307200.0,0,1
852.0989999999999,829.07,1472.26,876.7739999999999,1,1,4,1,olga978307200.0,0,1
858.679,822.49,945.863,871.8389999999999,1,1,4,1,olga978307200.0,0,1
830.715,822.49,1051.14,861.9689999999999,1,1,4,1,olga978307200.0,0,1
829.07,802.75,524.748,861.9689999999999,1,1,4,1,olga978307200.0,0,1
857.034,814.265,1051.14,875.1289999999999,1,1,4,1,olga978307200.0,0,1
863.6139999999999,827.425,1156.42,876.7739999999999,1,1,4,1,olga978307200.0,0,1
850.454,815.91,630.0269999999999,873.4839999999999,1,1,4,1,olga978307200.0,0,1
842.2289999999999,824.135,945.863,843.8739999999999,1,1,4,1,olga978307200.0,0,1
847.164,829.07,1051.14,847.164,1,1,4,1,olga978307200.0,0,1
853.7439999999999,824.135,840.584,873.4839999999999,1,1,4,1,olga978307200.0,0,1
830.715,824.135,840.584,866.904,1,1,4,1,olga978307200.0,0,1
824.135,827.425,840.584,850.454,1,1,4,1,olga978307200.0,0,1
829.07,819.2,840.584,850.454,1,1,4,1,olga978307200.0,0,1
850.454,845.5189999999999,1366.98,861.9689999999999,1,1,4,1,olga978307200.0,0,1
865.2589999999999,845.5189999999999,1156.42,866.904,1,1,4,1,olga978307200.0,0,1
858.679,835.65,735.306,848.809,1,1,4,1,olga978307200.0,0,1
848.809,835.65,524.748,838.94,1,1,4,1,olga978307200.0,0,1
865.2589999999999,817.555,314.191,858.679,1,1,4,1,olga978307200.0,0,1
866.904,825.78,524.748,880.064,1,1,4,1,olga978307200.0,0,1
843.8739999999999,835.65,735.306,855.3889999999999,1,1,4,1,olga978307200.0,0,1
847.164,827.425,524.748,843.8739999999999,1,1,4,1,olga978307200.0,0,1
842.2289999999999,835.65,735.306,858.679,1,1,4,1,olga978307200.0,0,1
855.3889999999999,830.715,735.306,876.7739999999999,1,1,4,1,olga978307200.0,0,1
853.7439999999999,822.49,735.306,868.549,1,1,4,1,olga978307200.0,0,1
842.2289999999999,838.94,1156.42,835.65,1,1,4,1,olga978307200.0,0,1
837.295,832.36,945.863,819.2,1,1,4,1,olga978307200.0,0,1
840.584,825.78,945.863,866.904,1,1,4,1,olga978307200.0,0,1
850.454,819.2,945.863,883.3539999999999,1,1,4,1,olga978307200.0,0,1
835.65,801.105,735.306,870.194,1,1,4,1,olga978307200.0,0,1
842.2289999999999,820.845,1366.98,843.8739999999999,1,1,4,1,olga978307200.0,0,1
861.9689999999999,817.555,1156.42,850.454,1,1,4,1,olga978307200.0,0,1
861.9689999999999,812.62,945.863,870.194,1,1,4,1,olga978307200.0,0,1
852.0989999999999,819.2,945.863,857.034,1,1,4,1,olga978307200.0,0,1
840.584,817.555,735.306,824.135,1,1,4,1,olga978307200.0,0,1
848.809,801.105,524.748,838.94,1,1,4,1,olga978307200.0,0,1
878.419,819.2,1156.42,871.8389999999999,1,1,4,1,olga978307200.0,0,1
858.679,807.685,945.863,883.3539999999999,1,1,4,1,olga978307200.0,0,1
822.49,802.75,945.863,880.064,1,1,4,1,olga978307200.0,0,1
822.49,807.685,945.863,830.715,1,1,4,1,olga978307200.0,0,1
845.5189999999999,807.685,945.863,840.584,1,1,4,1,olga978307200.0,0,1
878.419,801.105,945.863,878.419,1,1,4,1,olga978307200.0,0,1
855.3889999999999,819.2,1366.98,852.0989999999999,1,1,4,1,olga978307200.0,0,1
838.94,820.845,1156.42,840.584,1,1,4,1,olga978307200.0,0,1
840.584,809.33,945.863,832.36,1,1,4,1,olga978307200.0,0,1
865.2589999999999,815.91,945.863,865.2589999999999,1,1,4,1,olga978307200.0,0,1
876.7739999999999,799.46,735.306,873.4839999999999,1,1,4,1,olga978307200.0,0,1
838.94,801.105,945.863,850.454,1,1,4,1,olga978307200.0,0,1
825.78,809.33,967.248,848.809,1,1,4,1,olga978307200.0,0,1
855.3889999999999,819.2,1072.53,842.2289999999999,1,1,4,1,olga978307200.0,0,1
866.904,820.845,1072.53,865.2589999999999,1,1,4,1,olga978307200.0,0,1
858.679,815.91,1019.89,842.2289999999999,1,1,4,1,olga978307200.0,0,1
852.0989999999999,802.75,546.133,830.715,1,1,4,1,olga978307200.0,0,1
850.454,810.975,967.248,858.679,1,1,4,1,olga978307200.0,0,1
868.549,812.62,809.33,894.8689999999999,1,1,4,1,olga978307200.0,0,1
880.064,806.04,756.691,870.194,1,1,4,1,olga978307200.0,0,1
838.94,799.46,651.4119999999999,832.36,1,1,4,1,olga978307200.0,0,1
829.07,804.395,861.9689999999999,834.005,1,1,4,1,olga978307200.0,0,1
852.0989999999999,807.685,861.9689999999999,871.8389999999999,1,1,4,1,olga978307200.0,0,1
853.7439999999999,806.04,861.9689999999999,896.5139999999999,1,1,4,1,olga978307200.0,0,1
