el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
858.679,832.36,857.034,866.904,1,1,1,1,polina tarasova978307200.0,0,1
899.804,834.005,855.3889999999999,830.715,1,1,1,1,polina tarasova978307200.0,0,1
870.194,835.65,855.3889999999999,866.904,1,1,1,1,polina tarasova978307200.0,0,1
810.975,834.005,853.7439999999999,922.834,1,1,1,1,polina tarasova978307200.0,0,1
810.975,835.65,855.3889999999999,922.834,1,1,1,1,polina tarasova978307200.0,0,1
894.8689999999999,838.94,853.7439999999999,824.135,1,1,1,1,polina tarasova978307200.0,0,1
878.419,837.295,853.7439999999999,853.7439999999999,1,1,1,1,polina tarasova978307200.0,0,1
860.324,835.65,857.034,896.5139999999999,1,1,1,1,polina tarasova978307200.0,0,1
792.88,832.36,857.034,955.7330000000001,1,1,1,1,polina tarasova978307200.0,0,1
884.9989999999999,837.295,857.034,857.034,1,1,1,1,polina tarasova978307200.0,0,1
894.8689999999999,830.715,857.034,837.295,1,1,1,1,polina tarasova978307200.0,0,1
860.324,834.005,855.3889999999999,857.034,1,1,1,1,polina tarasova978307200.0,0,1
804.395,829.07,857.034,939.283,1,1,1,1,polina tarasova978307200.0,0,1
827.425,834.005,855.3889999999999,903.0939999999999,1,1,1,1,polina tarasova978307200.0,0,1
901.449,838.94,855.3889999999999,817.555,1,1,1,1,polina tarasova978307200.0,0,1
878.419,834.005,857.034,853.7439999999999,1,1,1,1,polina tarasova978307200.0,0,1
799.46,834.005,855.3889999999999,906.3839999999999,1,1,1,1,polina tarasova978307200.0,0,1
773.14,832.36,857.034,985.3430000000001,1,1,1,1,polina tarasova978307200.0,0,1
878.419,835.65,853.7439999999999,880.064,1,1,1,1,polina tarasova978307200.0,0,1
878.419,834.005,855.3889999999999,880.064,1,1,1,1,polina tarasova978307200.0,0,1
852.0989999999999,832.36,855.3889999999999,906.3839999999999,1,1,1,1,polina tarasova978307200.0,0,1
799.46,827.425,855.3889999999999,985.3430000000001,1,1,1,1,polina tarasova978307200.0,0,1
825.78,827.425,853.7439999999999,932.703,1,1,1,1,polina tarasova978307200.0,0,1
878.419,832.36,852.0989999999999,880.064,1,1,1,1,polina tarasova978307200.0,0,1
878.419,832.36,853.7439999999999,906.3839999999999,1,1,1,1,polina tarasova978307200.0,0,1
852.0989999999999,835.65,852.0989999999999,959.023,1,1,1,1,polina tarasova978307200.0,0,1
825.78,837.295,855.3889999999999,985.3430000000001,1,1,1,1,polina tarasova978307200.0,0,1
