el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
723.791,802.75,840.584,873.4839999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,802.75,838.94,881.709,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,801.105,843.8739999999999,873.4839999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,802.75,845.5189999999999,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,804.395,845.5189999999999,866.904,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,799.46,840.584,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,804.395,840.584,873.4839999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,806.04,843.8739999999999,873.4839999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,809.33,845.5189999999999,861.9689999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,807.685,840.584,857.034,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,806.04,840.584,865.2589999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,807.685,842.2289999999999,850.454,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,810.975,845.5189999999999,875.1289999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,806.04,843.8739999999999,868.549,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,802.75,842.2289999999999,863.6139999999999,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,802.75,840.584,876.7739999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,804.395,843.8739999999999,878.419,1,1,1,1,rinat shakirov978307200.0,0,1
750.1110000000001,809.33,850.454,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,801.105,838.94,860.324,1,1,1,1,rinat shakirov978307200.0,0,1
908.029,801.105,845.5189999999999,876.7739999999999,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,806.04,845.5189999999999,858.679,1,1,1,1,rinat shakirov978307200.0,0,1
802.75,810.975,847.164,855.3889999999999,1,1,1,1,rinat shakirov978307200.0,0,1
802.75,802.75,842.2289999999999,870.194,1,1,1,1,rinat shakirov978307200.0,0,1
934.3480000000001,799.46,838.94,860.324,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,801.105,842.2289999999999,870.194,1,1,1,1,rinat shakirov978307200.0,0,1
855.3889999999999,802.75,843.8739999999999,868.549,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,809.33,843.8739999999999,861.9689999999999,1,1,1,1,rinat shakirov978307200.0,0,1
908.029,802.75,837.295,857.034,1,1,1,1,rinat shakirov978307200.0,0,1
908.029,806.04,842.2289999999999,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,807.685,845.5189999999999,875.1289999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,807.685,847.164,861.9689999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,797.815,840.584,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
881.709,797.815,840.584,883.3539999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,801.105,843.8739999999999,881.709,1,1,1,1,rinat shakirov978307200.0,0,1
671.1519999999999,804.395,848.809,880.064,1,1,1,1,rinat shakirov978307200.0,0,1
565.873,804.395,848.809,884.9989999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,802.75,842.2289999999999,857.034,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,806.04,843.8739999999999,865.2589999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,807.685,847.164,880.064,1,1,1,1,rinat shakirov978307200.0,0,1
618.512,807.685,847.164,876.7739999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,804.395,838.94,875.1289999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,801.105,840.584,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,807.685,842.2289999999999,873.4839999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,806.04,843.8739999999999,860.324,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,802.75,842.2289999999999,865.2589999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,797.815,840.584,852.0989999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,797.815,845.5189999999999,860.324,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,801.105,848.809,880.064,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,807.685,852.0989999999999,876.7739999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,802.75,843.8739999999999,866.904,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,802.75,843.8739999999999,861.9689999999999,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,806.04,850.454,876.7739999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,806.04,852.0989999999999,889.934,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,804.395,848.809,878.419,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,804.395,845.5189999999999,878.419,1,1,1,1,rinat shakirov978307200.0,0,1
829.07,806.04,848.809,873.4839999999999,1,1,1,1,rinat shakirov978307200.0,0,1
776.43,810.975,848.809,865.2589999999999,1,1,1,1,rinat shakirov978307200.0,0,1
723.791,812.62,852.0989999999999,871.8389999999999,1,1,1,1,rinat shakirov978307200.0,0,1
