el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
832.36,1003.44,830.715,832.36,1,2,2,1,вероника978307200.0,0,1
815.91,1003.44,830.715,810.975,1,2,2,1,вероника978307200.0,0,1
847.164,1003.44,830.715,858.679,1,2,2,1,вероника978307200.0,0,1
837.295,792.88,725.436,886.6439999999999,1,2,2,1,вероника978307200.0,0,1
814.265,582.323,620.1569999999999,880.064,1,2,2,1,вероника978307200.0,0,1
807.685,687.6010000000001,620.1569999999999,825.78,1,2,2,1,вероника978307200.0,0,1
830.715,898.159,830.715,842.2289999999999,1,2,2,1,вероника978307200.0,0,1
861.9689999999999,1003.44,935.993,868.549,1,2,2,1,вероника978307200.0,0,1
863.6139999999999,687.6010000000001,725.436,855.3889999999999,1,2,2,1,вероника978307200.0,0,1
825.78,582.323,620.1569999999999,848.809,1,2,2,1,вероника978307200.0,0,1
815.91,582.323,620.1569999999999,852.0989999999999,1,2,2,1,вероника978307200.0,0,1
852.0989999999999,792.88,725.436,861.9689999999999,1,2,2,1,вероника978307200.0,0,1
861.9689999999999,582.323,620.1569999999999,858.679,1,2,2,1,вероника978307200.0,0,1
829.07,792.88,725.436,840.584,1,2,2,1,вероника978307200.0,0,1
824.135,582.323,620.1569999999999,814.265,1,2,2,1,вероника978307200.0,0,1
857.034,477.04400000000004,620.1569999999999,870.194,1,2,2,1,вероника978307200.0,0,1
857.034,898.159,1041.27,881.709,1,2,2,1,вероника978307200.0,0,1
845.5189999999999,687.6010000000001,830.715,861.9689999999999,1,2,2,1,вероника978307200.0,0,1
819.2,477.04400000000004,725.436,838.94,1,2,2,1,вероника978307200.0,0,1
830.715,898.159,935.993,838.94,1,2,2,1,вероника978307200.0,0,1
860.324,687.6010000000001,830.715,886.6439999999999,1,2,2,1,вероника978307200.0,0,1
875.1289999999999,687.6010000000001,830.715,883.3539999999999,1,2,2,1,вероника978307200.0,0,1
832.36,687.6010000000001,830.715,853.7439999999999,1,2,2,1,вероника978307200.0,0,1
809.33,687.6010000000001,830.715,840.584,1,2,2,1,вероника978307200.0,0,1
845.5189999999999,1108.72,1146.55,850.454,1,2,2,1,вероника978307200.0,0,1
850.454,1108.72,1146.55,884.9989999999999,1,2,2,1,вероника978307200.0,0,1
860.324,1108.72,1146.55,850.454,1,2,2,1,вероника978307200.0,0,1
824.135,898.159,935.993,827.425,1,2,2,1,вероника978307200.0,0,1
827.425,898.159,935.993,840.584,1,2,2,1,вероника978307200.0,0,1
863.6139999999999,898.159,935.993,865.2589999999999,1,2,2,1,вероника978307200.0,0,1
858.679,477.04400000000004,620.1569999999999,881.709,1,2,2,1,вероника978307200.0,0,1
840.584,687.6010000000001,725.436,840.584,1,2,2,1,вероника978307200.0,0,1
797.815,898.159,935.993,827.425,1,2,2,1,вероника978307200.0,0,1
825.78,898.159,1041.27,857.034,1,2,2,1,вероника978307200.0,0,1
850.454,898.159,1041.27,875.1289999999999,1,2,2,1,вероника978307200.0,0,1
842.2289999999999,266.486,620.1569999999999,875.1289999999999,1,2,2,1,вероника978307200.0,0,1
827.425,266.486,620.1569999999999,838.94,1,2,2,1,вероника978307200.0,0,1
829.07,792.88,935.993,853.7439999999999,1,2,2,1,вероника978307200.0,0,1
871.8389999999999,792.88,935.993,876.7739999999999,1,2,2,1,вероника978307200.0,0,1
870.194,687.6010000000001,830.715,889.934,1,2,2,1,вероника978307200.0,0,1
827.425,477.04400000000004,725.436,863.6139999999999,1,2,2,1,вероника978307200.0,0,1
829.07,792.88,830.715,838.94,1,2,2,1,вероника978307200.0,0,1
866.904,687.6010000000001,725.436,875.1289999999999,1,2,2,1,вероника978307200.0,0,1
870.194,582.323,725.436,893.2239999999999,1,2,2,1,вероника978307200.0,0,1
845.5189999999999,898.159,830.715,871.8389999999999,1,2,2,1,вероника978307200.0,0,1
812.62,898.159,830.715,840.584,1,2,2,1,вероника978307200.0,0,1
852.0989999999999,1108.72,1041.27,870.194,1,2,2,1,вероника978307200.0,0,1
886.6439999999999,1108.72,1041.27,870.194,1,2,2,1,вероника978307200.0,0,1
866.904,582.323,672.796,858.679,1,2,2,1,вероника978307200.0,0,1
